policy_number,proposal_number,agent_id,business_type,sub_business_type,policy_type,risk_start_date,policy_end_date,login,post_year,post_month,source_type,transaction_issue_date,main_product,sub_package_code,max_package_code,gwp,upsell_amnt,proposal_received_date,cover_type,rn_amount,policy_status_code,sum_insured,initial_nol,month,cancel_decline_reason,cancel_decline_date,date_of_issuance,eldest_member_age,mode_of_payment,type_of_cheque,bank_name,receipt_no,receipt_status,cheque_no,transaction_no,underwriting_decision_desc,partner_rm_code,partner_branch_code,auto_renewal_flag,loan_no,account_no,loan_type,smartselect_flag,transaction_date,new_login_date,transaction_issuance_date,master_policy_number,per_mile_rate,business_source_type,initial_premium,benefitgroup_1,add_on_prmm_amnt_1,benefitgroup_2,add_on_prmm_amnt_2,benefitgroup_3,add_on_prmm_amnt_3,benefitgroup_4,add_on_prmm_amnt_4,benefitgroup_5,add_on_prmm_amnt_5,benefitgroup_6,add_on_prmm_amnt_6,benefitgroup_7,add_on_prmm_amnt_7,benefitgroup_8,add_on_prmm_amnt_8,benefitgroup_9,add_on_prmm_amnt_9,benefitgroup_10,add_on_prmm_amnt_10,sp_code,sp_name,product,customer_zone,customer_id,customer_type,payment_frequency,sub_package,branch_code,arm,agent_joining_date,vertical,sub_vertical,parent_bp_name,parent_bp_code,intermediary_category,agent_name,sub_sourcing_location,rm_id,rm_sm_name,eximius_status,tenure,nol,customer_name,process_status_description,partner_branch_name,partner_zone_name,branch_name,zone,src_typ_flg,load_date,run_day,agent_category,customer_city,customer_pin_code,total_gwp,igst_amount,cgst_amount,sgst_amount,ugst_amount,propero_y_flag,payment_ref,customer_gender,customer_dob,emailid,customer_contact_no,customer_pan,customer_address,bank_unique_code,portability_type,group_partner_cif_id,group_partner_branch_code,group_partner_rm_cd,customer_occupation,agent_state,initial_nol_main_member_count,online_offline_type,care_shield_amount,retail_previous_insurer_name,group_previous_insurer_name,previous_policy_number,previous_policy_expiry_date,pcrdate,stp_nstp,future_gwp,ckyc_number,proposal_modification_date,latest_rm_id,latest_rm_nm,run_year,run_month,email
POL-3356886,PROP-99529223,AGT-3198,Portability,Retail,Floater,2025-07-15,2026-07-15,1.0,2025,7,Broker,2025-07-15,Super Topup,PKG-5,MAX-3,21223.8,2925.97,2025-07-04,Base,0.0,ACTIVE,300000,1,7,,,2025-07-15,40,DD,Local,Dhanlaxmi Bank,RCPT-256787,Cleared,234053.0,TXN-9189245417,Approved,RM-80,BR-17,Y,,DVXR1960013389083,,N,2025-07-15,2025-07-04,2025-07-15,,,Direct,21223.8,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-438,"Saini, Kannan and Sen",Super Topup,North,CUST-617889,Individual,Annual,Gold,BR-46,ARM-3,2022-01-03,Agency,Direct,Dutta Ltd,BP-720,Agent,Harini Mall,Thrissur,RM-16,Harsh Chanda,Standard,1,5,Gunbir Parmer,Issued,Mahbubnagar Branch,West Zone,Varanasi Office,North,Digital,2025-11-24 10:29:49.411250,24,Advisor,Jorhat,618495,25044.08,3820.2800000000025,0.0,0.0,0.0,Y,PAY-75674,Female,1957-01-04,bathvedant@example.com,913164752553,IUPKD4192Y,"50/305, Loyal Marg, Rajpur Sonarpur 376724",HXRRGBQ1,Portability,,,,Television production assistant,Madhya Pradesh,1,Offline,0.0,Kanda-Devi,,,,,STP,21223.8,CKYC-6483366056,2025-07-04,RM-4,Champak Choudhary,2025,7,harsh.kumar@sentra.com
POL-21472420,PROP-91332642,AGT-8472,Portability,Retail,Individual,2025-01-17,2026-01-17,1.0,2025,1,Banca,2025-01-17,Senior Care,PKG-5,MAX-3,37053.73,3122.87,2025-01-09,Comprehensive,0.0,ACTIVE,300000,1,1,,,2025-01-17,22,DD,Outstation,Kotak Mahindra Bank,RCPT-625380,Cleared,66613.0,TXN-5947530309,Approved,RM-100,BR-6,N,,TOQI8018451462704,,Y,2025-01-17,2025-01-09,2025-01-17,,,Direct,37053.73,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-676,"Gokhale, Tripathi and Cherian",Super Topup,East,CUST-912804,Individual,Annual,Gold,BR-38,ARM-5,2023-05-25,Agency,Direct,"Tripathi, Issac and Dua",BP-129,Agent,Neel Zacharia,Khora ,RM-36,Vrinda Bahl,Standard,1,5,Janani Mohanty,Issued,Howrah Branch,North Zone,Tezpur Office,West,Digital,2025-11-24 10:29:49.412445,24,Advisor,Guwahati,182278,43723.4,6669.669999999998,0.0,0.0,0.0,Y,PAY-21643,Male,1961-08-05,ikakar@example.net,3465787133,JOLOA1509E,"H.No. 051, Khanna Circle, Shivpuri 829973",ZNGDGBG1W10,Portability,,,,"Psychologist, sport and exercise",West Bengal,1,Online,0.0,"Bhagat, Chaudhari and Bhat",,,,,NSTP,37053.73,CKYC-3700855390,2025-01-09,RM-24,Rehaan Gupta,2025,1,harsh.kumar@sentra.com
POL-18814949,PROP-56623995,AGT-3015,Renewal,Retail,Floater,2025-06-07,2026-06-07,1.0,2025,6,Agency,2025-06-07,Group Activ,PKG-1,MAX-1,20505.86,2929.1,2025-05-23,Base,20505.86,ACTIVE,500000,2,6,,,2025-06-07,53,DD,Local,State Bank of India,RCPT-292075,Cleared,485100.0,TXN-3965395580,Approved,RM-100,BR-7,N,,OZRD0801326773602,,N,2025-06-07,2025-05-23,2025-06-07,,,Direct,20505.86,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-112,Agate-Ramakrishnan,Health Secure,East,CUST-278085,Individual,Annual,Gold,BR-38,ARM-2,2024-08-07,Agency,Direct,Mangal-Sampath,BP-824,Agent,Mohammed Gupta,Bellary,RM-21,Darsh Murthy,Standard,1,1,Chandresh Sood,Issued,Howrah Branch,East Zone,Gaya Office,South,Digital,2025-11-24 10:29:49.413519,24,Advisor,Hindupur,361939,24196.91,3691.0499999999993,0.0,0.0,0.0,Y,PAY-77924,Female,1947-05-27,sainidiya@example.com,915346247510,EINGQ7991I,"542, Mittal Chowk, Begusarai 124118",IJTGGBVN,,,,,"Geneticist, molecular",Mizoram,1,Offline,0.0,,,POL-OLD-146,2025-06-06,,STP,20505.86,CKYC-6393195616,2025-05-23,RM-32,George Sampath,2025,6,harsh.kumar@sentra.com
POL-5917225,PROP-475894,AGT-9081,New Business,Retail,Floater,2025-09-22,2026-09-22,1.0,2025,9,Broker,2025-09-22,Super Topup,PKG-2,MAX-4,48686.64,2513.95,2025-09-18,Comprehensive,0.0,ACTIVE,1000000,2,9,,,2025-09-22,55,Online,Outstation,IDBI Bank,RCPT-808577,Cleared,,TXN-9151800736,Approved,RM-86,BR-28,Y,,IFXO8680112805982,,Y,2025-09-22,2025-09-18,2025-09-22,,,Direct,48686.64,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-132,Datta-Barman,Senior Care,North,CUST-323232,Individual,Annual,Gold,BR-66,ARM-1,2022-05-09,Agency,Direct,Parmar and Sons,BP-742,Agent,Harshil Pandya,Udupi,RM-33,Warjas Gaba,Standard,1,2,Nitara Bakshi,Issued,Thoothukudi Branch,West Zone,Kulti Office,West,Digital,2025-11-24 10:29:49.418738,24,Advisor,Kozhikode,607337,57450.24,8763.599999999999,0.0,0.0,0.0,Y,PAY-45830,Female,1964-02-15,udantbajwa@example.net,916541458685,LQCGM0142B,"98, Rajan Zila, Rohtak 608835",CVKTGBUHT6T,,,,,Osteopath,Karnataka,1,Offline,0.0,,,,,,STP,48686.64,CKYC-9859764000,2025-09-18,RM-6,Rehaan Salvi,2025,9,harsh.kumar@sentra.com
POL-50888017,PROP-90908075,AGT-7791,Portability,Retail,Individual,2025-07-24,2026-07-24,1.0,2025,7,Agency,2025-07-24,Group Activ,PKG-4,MAX-3,38218.12,3312.97,2025-07-13,Comprehensive,0.0,ACTIVE,1000000,3,7,,,2025-07-24,22,Cheque,Local,State Bank of India,RCPT-645414,Cleared,,TXN-6739255769,Approved,RM-93,BR-4,N,,MRAJ4369957773872,,Y,2025-07-24,2025-07-13,2025-07-24,,,Direct,38218.12,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-264,"Chad, Mander and Varma",Health Secure,East,CUST-696101,Individual,Annual,Gold,BR-18,ARM-3,2023-06-05,Agency,Direct,Chander-Keer,BP-375,Agent,Umang Issac,Nagpur,RM-38,Yash Soman,Standard,1,1,Tamanna Sachdeva,Issued,Yamunanagar Branch,South Zone,Silchar Office,North,Digital,2025-11-24 10:29:49.419802,24,Advisor,Siliguri,163287,45097.38,6879.259999999995,0.0,0.0,0.0,Y,PAY-6582,Female,1980-01-05,shankiaan@example.com,8895798687,WPORX2774X,"H.No. 71, Keer Road, Thanjavur-812236",WGCNGB0V,Portability,,,,Special effects artist,Manipur,1,Online,0.0,Bhatia-Jhaveri,,,,,NSTP,38218.12,CKYC-7872207630,2025-07-13,RM-41,Anmol Rai,2025,7,harsh.kumar@sentra.com
POL-47212267,PROP-40079111,AGT-3069,New Business,Retail,Group,2025-05-16,2026-05-16,1.0,2025,5,Banca,2025-05-16,Super Topup,PKG-4,MAX-5,19047.73,465.13,2025-05-10,Comprehensive,0.0,ACTIVE,300000,3,5,,,2025-05-16,70,Cheque,Local,Jammu & Kashmir Bank,RCPT-894905,Cleared,,TXN-7884394611,Approved,RM-44,BR-47,N,,RXXR9373467065627,,N,2025-05-16,2025-05-10,2025-05-16,,,Direct,19047.73,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-934,Walla Inc,Group Activ,East,CUST-950983,Individual,Annual,Gold,BR-55,ARM-3,2022-06-21,Agency,Direct,"Bala, Chacko and Sangha",BP-965,Agent,Triya Gopal,Bhilwara,RM-8,Falak Kakar,Standard,1,1,Eta Nazareth,Issued,Alwar Branch,East Zone,Nizamabad Office,North,Digital,2025-11-24 10:29:49.425182,24,Advisor,Nandyal,805310,22476.32,3428.59,0.0,0.0,0.0,Y,PAY-98858,Female,1946-11-08,ryanbahri@example.net,913271937452,TGLBT9912K,"31/931, Dara Road, Sri Ganganagar-518506",DNLUGB3J1L7,,,,,Geophysicist/field seismologist,Punjab,1,Online,0.0,,,,,,STP,19047.73,CKYC-6371573279,2025-05-10,RM-17,Amrita Naidu,2025,5,harsh.kumar@sentra.com
POL-11631697,PROP-37437115,AGT-8645,New Business,Retail,Floater,2025-09-30,2026-09-30,1.0,2025,9,Digital,2025-09-30,Group Activ,PKG-3,MAX-1,11227.05,4580.61,2025-09-17,Comprehensive,0.0,ACTIVE,300000,1,9,,,2025-09-30,49,Cheque,Outstation,Nainital Bank,RCPT-255709,Cleared,,TXN-7518238399,Approved,RM-91,BR-29,N,,STVM5075273545494,,N,2025-09-30,2025-09-17,2025-09-30,,,Direct,11227.05,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-524,"Anne, Varughese and Halder",Group Activ,West,CUST-89771,Individual,Annual,Gold,BR-78,ARM-4,2021-11-10,Agency,Direct,Suresh-Khosla,BP-517,Agent,Vritti Sem,Tiruchirappalli,RM-19,Timothy Ravel,Standard,1,3,Damini Pillay,Issued,Begusarai Branch,South Zone,Khandwa Office,East,Digital,2025-11-24 10:29:49.428708,24,Advisor,Nagercoil,444313,13247.92,2020.8700000000008,0.0,0.0,0.0,Y,PAY-41359,Female,1952-06-05,rehaankalita@example.net,4989413435,IRCDJ2408S,"H.No. 094, Srinivas Chowk, Mau-047116",CSUVGBDJJTF,,,,,Fish farm manager,Bihar,1,Online,0.0,,,,,,STP,11227.05,CKYC-2656086594,2025-09-17,RM-47,Shravya Savant,2025,9,harsh.kumar@sentra.com
POL-78990506,PROP-57556566,AGT-8336,Portability,Retail,Individual,2025-03-11,2026-03-11,1.0,2025,3,Broker,2025-03-11,Super Topup,PKG-1,MAX-4,35706.44,3811.06,2025-02-27,Base,0.0,ACTIVE,500000,4,3,,,2025-03-11,72,DD,Local,HDFC Bank,RCPT-596251,Cleared,651194.0,TXN-8848621776,Approved,RM-45,BR-15,N,,XDYG3412328120679,,N,2025-03-11,2025-02-27,2025-03-11,,,Direct,35706.44,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-978,Manne-Bali,Health Secure,North,CUST-242720,Individual,Annual,Gold,BR-47,ARM-4,2022-01-17,Agency,Direct,Setty-Bobal,BP-179,Agent,Aishani Hora,Raipur,RM-10,Manthan Lata,Standard,1,4,Ekbal Bhasin,Issued,Aizawl Branch,East Zone,Bahraich Office,East,Digital,2025-11-24 10:29:49.430008,24,Advisor,Bhind,648877,42133.6,6427.159999999996,0.0,0.0,0.0,Y,PAY-10543,Male,1982-07-28,mnaidu@example.com,911399049027,LBOFF8742E,"H.No. 51, Narayan Street, Shimla 680715",KDYMGB6A830,Portability,,,,Audiological scientist,Gujarat,1,Online,0.0,"Pathak, Tara and Sathe",,,,,NSTP,35706.44,CKYC-3264134512,2025-02-27,RM-4,Amara Deep,2025,3,harsh.kumar@sentra.com
POL-58802946,PROP-93717532,AGT-9710,Portability,Retail,Individual,2025-10-28,2026-10-28,1.0,2025,10,Digital,2025-10-28,Group Activ,PKG-2,MAX-5,46581.44,1585.27,2025-10-27,Base,0.0,ACTIVE,500000,1,10,,,2025-10-28,34,CC,Outstation,Tamilnad Mercantile Bank,RCPT-127324,Cleared,,TXN-3433026356,Approved,RM-39,BR-7,Y,,WFJR0861317127484,,Y,2025-10-28,2025-10-27,2025-10-28,,,Direct,46581.44,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-731,Subramanian-Sodhi,Health Secure,West,CUST-255570,Individual,Annual,Gold,BR-47,ARM-5,2022-09-21,Agency,Direct,Rajagopal and Sons,BP-793,Agent,Ekaraj Majumdar,Mau,RM-11,Aarnav Mandal,Standard,1,1,Vrishti Dixit,Issued,Siwan Branch,North Zone,Hapur Office,West,Digital,2025-11-24 10:29:49.435446,24,Advisor,Suryapet,753396,54966.1,8384.659999999996,0.0,0.0,0.0,Y,PAY-30613,Male,1998-10-28,ubassi@example.net,6627028951,AUJAP7187J,"H.No. 59, Buch Marg, Deoghar 578091",UVJHGBF1,Portability,,,,Chief Technology Officer,Tripura,1,Online,0.0,"Chaudhry, Sawhney and Ganesan",,,,,STP,46581.44,CKYC-7275679594,2025-10-27,RM-45,Chakradhar Nair,2025,10,harsh.kumar@sentra.com
POL-39375156,PROP-48112135,AGT-1525,Portability,Retail,Floater,2025-09-10,2026-09-10,1.0,2025,9,Digital,2025-09-10,Senior Care,PKG-1,MAX-4,43144.37,1441.26,2025-09-08,Base,0.0,ACTIVE,500000,2,9,,,2025-09-10,39,DD,Local,IndusInd Bank,RCPT-451607,Cleared,152640.0,TXN-9638754591,Approved,RM-39,BR-14,Y,,NSVZ2221969379237,,N,2025-09-10,2025-09-08,2025-09-10,,,Direct,43144.37,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-832,"Kumar, Sharaf and Kumer",Super Topup,North,CUST-699233,Individual,Annual,Gold,BR-91,ARM-1,2020-12-06,Agency,Direct,Mani-Dugar,BP-941,Agent,Riya Pai,Khandwa,RM-48,Tanmayi Mittal,Standard,1,2,Leena Subramanian,Issued,Patiala Branch,East Zone,Aurangabad Office,North,Digital,2025-11-24 10:29:49.441794,24,Advisor,Ramgarh,406409,50910.36,7765.989999999998,0.0,0.0,0.0,Y,PAY-89889,Female,1993-12-05,tanejabhavini@example.org,5339421047,FSUVA0952L,"58/84, Kurian Street, Sagar-171236",CZMAGBQ8H3X,Portability,,,,Garment/textile technologist,Odisha,1,Online,0.0,Prabhu-Chokshi,,,,,NSTP,43144.37,CKYC-2898400928,2025-09-08,RM-11,Aryan Narang,2025,9,harsh.kumar@sentra.com
