self_email,reportee_email
super.admin@sentra.com,super.admin@sentra.com
super.admin@sentra.com,kamaljeet.singh@sentra.com
super.admin@sentra.com,vishal.saxena@sentra.com
super.admin@sentra.com,harsh.kumar@sentra.com
kamaljeet.singh@sentra.com,kamaljeet.singh@sentra.com
kamaljeet.singh@sentra.com,vishal.saxena@sentra.com
kamaljeet.singh@sentra.com,harsh.kumar@sentra.com
vishal.saxena@sentra.com,vishal.saxena@sentra.com
vishal.saxena@sentra.com,harsh.kumar@sentra.com
harsh.kumar@sentra.com,harsh.kumar@sentra.com
